id,left,right,parent,child
0,0.0,30.0,20,5
1,0.0,30.0,20,11
2,0.0,30.0,21,8
3,0.0,30.0,21,20
4,0.0,30.0,22,3
5,0.0,30.0,22,12
6,0.0,16.0,23,17
7,16.0,30.0,24,17
8,0.0,30.0,25,14
9,0.0,30.0,25,16
10,0.0,23.0,26,9
11,23.0,30.0,27,9
12,0.0,30.0,28,0
13,0.0,30.0,28,25
14,0.0,30.0,29,4
15,16.0,30.0,29,24
16,0.0,16.0,30,23
17,0.0,30.0,30,29
18,23.0,28.0,31,27
19,28.0,30.0,32,27
20,0.0,30.0,33,18
21,0.0,30.0,33,21
22,0.0,30.0,34,13
23,0.0,23.0,34,26
24,0.0,30.0,35,15
25,0.0,30.0,35,34
26,0.0,30.0,36,6
27,0.0,30.0,36,7
28,0.0,30.0,37,1
29,0.0,30.0,37,28
30,0.0,30.0,38,10
31,0.0,30.0,38,33
32,0.0,30.0,39,22
33,0.0,30.0,39,38
34,0.0,30.0,40,2
35,0.0,30.0,40,37
36,23.0,28.0,41,31
37,28.0,30.0,41,32
38,0.0,30.0,41,39
39,0.0,12.0,42,19
40,12.0,30.0,43,19
41,0.0,30.0,44,30
42,0.0,12.0,44,42
43,0.0,30.0,45,35
44,0.0,30.0,45,36
45,0.0,30.0,46,40
46,12.0,30.0,46,43
47,0.0,30.0,47,45
48,0.0,30.0,47,46
49,0.0,30.0,48,41
50,0.0,30.0,48,44
51,0.0,21.0,49,48
52,21.0,30.0,50,48
53,0.0,30.0,51,47
54,0.0,21.0,51,49
55,21.0,30.0,52,50
56,21.0,30.0,52,51
